,Gesamt,positive,neutral,negative
0,0_berlin_bundestag_usa_heute,0_berlin_bundestag_usa_heute,0_berlin_bundestag_usa_heute,2_spd_cdu_bundestag_demokratie
1,2_spd_cdu_bundestag_demokratie,2_spd_cdu_bundestag_demokratie,2_spd_cdu_bundestag_demokratie,4_rassismus_menschen_opfer_gedenken
2,17_https_https https_newsletter_quelle,6_jahr_wünsche_weihnachten_advent,17_https_https https_newsletter_quelle,17_https_https https_newsletter_quelle
3,4_rassismus_menschen_opfer_gedenken,27_bürgersprechstunde_uhr_sprechstunde_per,51_fdp_fdp fdp_afd_jetztfdp,3_ukraine_belarus_türkei_bundeswehr
4,7_europa_eu_europäischen_migration,11_danke_ostern_moin_wochenende,11_danke_ostern_moin_wochenende,0_berlin_bundestag_usa_heute
5,3_ukraine_belarus_türkei_bundeswehr,17_https_https https_newsletter_quelle,27_bürgersprechstunde_uhr_sprechstunde_per,7_europa_eu_europäischen_migration
6,1_euro_feuerwehr_mehr_ehrenamt,7_europa_eu_europäischen_migration,3_ukraine_belarus_türkei_bundeswehr,1_euro_feuerwehr_mehr_ehrenamt
7,10_euro_bürgergeld_rente_prozent,1_euro_feuerwehr_mehr_ehrenamt,7_europa_eu_europäischen_migration,10_euro_bürgergeld_rente_prozent
8,5_pflege_impfpflicht_versorgung_gesundheit,4_rassismus_menschen_opfer_gedenken,4_rassismus_menschen_opfer_gedenken,5_pflege_impfpflicht_versorgung_gesundheit
9,27_bürgersprechstunde_uhr_sprechstunde_per,51_fdp_fdp fdp_afd_jetztfdp,5_pflege_impfpflicht_versorgung_gesundheit,8_wasserstoff_klimaschutz_energien_erneuerbaren
