,Gesamt,positive,neutral,negative
0,3_ukraine_belarus_türkei_bundeswehr,2_spd_cdu_bundestag_demokratie,3_ukraine_belarus_türkei_bundeswehr,3_ukraine_belarus_türkei_bundeswehr
1,10_euro_bürgergeld_rente_prozent,0_berlin_bundestag_usa_heute,2_spd_cdu_bundestag_demokratie,10_euro_bürgergeld_rente_prozent
2,2_spd_cdu_bundestag_demokratie,3_ukraine_belarus_türkei_bundeswehr,10_euro_bürgergeld_rente_prozent,1_euro_feuerwehr_mehr_ehrenamt
3,1_euro_feuerwehr_mehr_ehrenamt,1_euro_feuerwehr_mehr_ehrenamt,0_berlin_bundestag_usa_heute,20_israel_hamas_mali_geiseln
4,20_israel_hamas_mali_geiseln,6_jahr_wünsche_weihnachten_advent,1_euro_feuerwehr_mehr_ehrenamt,2_spd_cdu_bundestag_demokratie
5,0_berlin_bundestag_usa_heute,16_fachkräfte_frauen_arbeitsmarkt_beschäftigten,7_europa_eu_europäischen_migration,4_rassismus_menschen_opfer_gedenken
6,7_europa_eu_europäischen_migration,7_europa_eu_europäischen_migration,16_fachkräfte_frauen_arbeitsmarkt_beschäftigten,5_pflege_impfpflicht_versorgung_gesundheit
7,4_rassismus_menschen_opfer_gedenken,10_euro_bürgergeld_rente_prozent,64_assange_julian assange_julian_auslieferung,64_assange_julian assange_julian_auslieferung
8,5_pflege_impfpflicht_versorgung_gesundheit,4_rassismus_menschen_opfer_gedenken,4_rassismus_menschen_opfer_gedenken,7_europa_eu_europäischen_migration
9,64_assange_julian assange_julian_auslieferung,27_bürgersprechstunde_uhr_sprechstunde_per,5_pflege_impfpflicht_versorgung_gesundheit,8_wasserstoff_klimaschutz_energien_erneuerbaren
