,Gesamt,positive,neutral,negative
0,0_berlin_bundestag_usa_heute,0_berlin_bundestag_usa_heute,0_berlin_bundestag_usa_heute,1_euro_feuerwehr_mehr_ehrenamt
1,2_spd_cdu_bundestag_demokratie,2_spd_cdu_bundestag_demokratie,1_euro_feuerwehr_mehr_ehrenamt,3_ukraine_belarus_türkei_bundeswehr
2,1_euro_feuerwehr_mehr_ehrenamt,1_euro_feuerwehr_mehr_ehrenamt,2_spd_cdu_bundestag_demokratie,2_spd_cdu_bundestag_demokratie
3,6_jahr_wünsche_weihnachten_advent,6_jahr_wünsche_weihnachten_advent,5_pflege_impfpflicht_versorgung_gesundheit,8_wasserstoff_klimaschutz_energien_erneuerbaren
4,3_ukraine_belarus_türkei_bundeswehr,53_csu_cdu_wegenmorgen_cducsubt,7_europa_eu_europäischen_migration,4_rassismus_menschen_opfer_gedenken
5,7_europa_eu_europäischen_migration,7_europa_eu_europäischen_migration,3_ukraine_belarus_türkei_bundeswehr,7_europa_eu_europäischen_migration
6,5_pflege_impfpflicht_versorgung_gesundheit,27_bürgersprechstunde_uhr_sprechstunde_per,53_csu_cdu_wegenmorgen_cducsubt,10_euro_bürgergeld_rente_prozent
7,53_csu_cdu_wegenmorgen_cducsubt,5_pflege_impfpflicht_versorgung_gesundheit,18_haushalt_sitzungswoche_woche_bundestag,5_pflege_impfpflicht_versorgung_gesundheit
8,4_rassismus_menschen_opfer_gedenken,3_ukraine_belarus_türkei_bundeswehr,8_wasserstoff_klimaschutz_energien_erneuerbaren,12_kinder_kindern_schulen_familien
9,8_wasserstoff_klimaschutz_energien_erneuerbaren,13_digitalisierung_digitale_ki_digitalen,4_rassismus_menschen_opfer_gedenken,0_berlin_bundestag_usa_heute
