,Gesamt,positive,neutral,negative
0,0_berlin_bundestag_usa_heute,0_berlin_bundestag_usa_heute,0_berlin_bundestag_usa_heute,3_ukraine_belarus_türkei_bundeswehr
1,1_euro_feuerwehr_mehr_ehrenamt,2_spd_cdu_bundestag_demokratie,1_euro_feuerwehr_mehr_ehrenamt,1_euro_feuerwehr_mehr_ehrenamt
2,2_spd_cdu_bundestag_demokratie,1_euro_feuerwehr_mehr_ehrenamt,3_ukraine_belarus_türkei_bundeswehr,4_rassismus_menschen_opfer_gedenken
3,3_ukraine_belarus_türkei_bundeswehr,6_jahr_wünsche_weihnachten_advent,7_europa_eu_europäischen_migration,10_euro_bürgergeld_rente_prozent
4,7_europa_eu_europäischen_migration,13_digitalisierung_digitale_ki_digitalen,10_euro_bürgergeld_rente_prozent,5_pflege_impfpflicht_versorgung_gesundheit
5,10_euro_bürgergeld_rente_prozent,51_fdp_fdp fdp_afd_jetztfdp,2_spd_cdu_bundestag_demokratie,2_spd_cdu_bundestag_demokratie
6,13_digitalisierung_digitale_ki_digitalen,7_europa_eu_europäischen_migration,51_fdp_fdp fdp_afd_jetztfdp,7_europa_eu_europäischen_migration
7,51_fdp_fdp fdp_afd_jetztfdp,3_ukraine_belarus_türkei_bundeswehr,13_digitalisierung_digitale_ki_digitalen,9_frauen_gewalt_gewalt frauen_mädchen
8,4_rassismus_menschen_opfer_gedenken,8_wasserstoff_klimaschutz_energien_erneuerbaren,8_wasserstoff_klimaschutz_energien_erneuerbaren,12_kinder_kindern_schulen_familien
9,8_wasserstoff_klimaschutz_energien_erneuerbaren,10_euro_bürgergeld_rente_prozent,18_haushalt_sitzungswoche_woche_bundestag,20_israel_hamas_mali_geiseln
