,Gesamt,positive,neutral,negative
0,1_euro_feuerwehr_mehr_ehrenamt,0_berlin_bundestag_usa_heute,1_euro_feuerwehr_mehr_ehrenamt,1_euro_feuerwehr_mehr_ehrenamt
1,0_berlin_bundestag_usa_heute,2_spd_cdu_bundestag_demokratie,0_berlin_bundestag_usa_heute,17_https_https https_newsletter_quelle
2,2_spd_cdu_bundestag_demokratie,1_euro_feuerwehr_mehr_ehrenamt,17_https_https https_newsletter_quelle,8_wasserstoff_klimaschutz_energien_erneuerbaren
3,17_https_https https_newsletter_quelle,6_jahr_wünsche_weihnachten_advent,2_spd_cdu_bundestag_demokratie,10_euro_bürgergeld_rente_prozent
4,8_wasserstoff_klimaschutz_energien_erneuerbaren,11_danke_ostern_moin_wochenende,8_wasserstoff_klimaschutz_energien_erneuerbaren,2_spd_cdu_bundestag_demokratie
5,10_euro_bürgergeld_rente_prozent,7_europa_eu_europäischen_migration,10_euro_bürgergeld_rente_prozent,7_europa_eu_europäischen_migration
6,7_europa_eu_europäischen_migration,13_digitalisierung_digitale_ki_digitalen,13_digitalisierung_digitale_ki_digitalen,4_rassismus_menschen_opfer_gedenken
7,4_rassismus_menschen_opfer_gedenken,4_rassismus_menschen_opfer_gedenken,7_europa_eu_europäischen_migration,3_ukraine_belarus_türkei_bundeswehr
8,5_pflege_impfpflicht_versorgung_gesundheit,8_wasserstoff_klimaschutz_energien_erneuerbaren,5_pflege_impfpflicht_versorgung_gesundheit,5_pflege_impfpflicht_versorgung_gesundheit
9,13_digitalisierung_digitale_ki_digitalen,17_https_https https_newsletter_quelle,4_rassismus_menschen_opfer_gedenken,0_berlin_bundestag_usa_heute
