,Gesamt,positive,neutral,negative
0,0_berlin_bundestag_usa_heute,0_berlin_bundestag_usa_heute,0_berlin_bundestag_usa_heute,4_rassismus_menschen_opfer_gedenken
1,1_euro_feuerwehr_mehr_ehrenamt,1_euro_feuerwehr_mehr_ehrenamt,8_wasserstoff_klimaschutz_energien_erneuerbaren,3_ukraine_belarus_türkei_bundeswehr
2,8_wasserstoff_klimaschutz_energien_erneuerbaren,48_grüne_grünen_grün_grüne jugend,1_euro_feuerwehr_mehr_ehrenamt,1_euro_feuerwehr_mehr_ehrenamt
3,4_rassismus_menschen_opfer_gedenken,2_spd_cdu_bundestag_demokratie,3_ukraine_belarus_türkei_bundeswehr,8_wasserstoff_klimaschutz_energien_erneuerbaren
4,3_ukraine_belarus_türkei_bundeswehr,8_wasserstoff_klimaschutz_energien_erneuerbaren,4_rassismus_menschen_opfer_gedenken,9_frauen_gewalt_gewalt frauen_mädchen
5,2_spd_cdu_bundestag_demokratie,4_rassismus_menschen_opfer_gedenken,48_grüne_grünen_grün_grüne jugend,2_spd_cdu_bundestag_demokratie
6,48_grüne_grünen_grün_grüne jugend,7_europa_eu_europäischen_migration,7_europa_eu_europäischen_migration,7_europa_eu_europäischen_migration
7,7_europa_eu_europäischen_migration,6_jahr_wünsche_weihnachten_advent,2_spd_cdu_bundestag_demokratie,0_berlin_bundestag_usa_heute
8,9_frauen_gewalt_gewalt frauen_mädchen,3_ukraine_belarus_türkei_bundeswehr,9_frauen_gewalt_gewalt frauen_mädchen,12_kinder_kindern_schulen_familien
9,12_kinder_kindern_schulen_familien,27_bürgersprechstunde_uhr_sprechstunde_per,5_pflege_impfpflicht_versorgung_gesundheit,20_israel_hamas_mali_geiseln
