,Gesamt,positive,neutral,negative
0,0_berlin_bundestag_usa_heute,0_berlin_bundestag_usa_heute,0_berlin_bundestag_usa_heute,4_rassismus_menschen_opfer_gedenken
1,1_euro_feuerwehr_mehr_ehrenamt,2_spd_cdu_bundestag_demokratie,1_euro_feuerwehr_mehr_ehrenamt,1_euro_feuerwehr_mehr_ehrenamt
2,2_spd_cdu_bundestag_demokratie,1_euro_feuerwehr_mehr_ehrenamt,2_spd_cdu_bundestag_demokratie,10_euro_bürgergeld_rente_prozent
3,4_rassismus_menschen_opfer_gedenken,16_fachkräfte_frauen_arbeitsmarkt_beschäftigten,4_rassismus_menschen_opfer_gedenken,3_ukraine_belarus_türkei_bundeswehr
4,10_euro_bürgergeld_rente_prozent,6_jahr_wünsche_weihnachten_advent,10_euro_bürgergeld_rente_prozent,2_spd_cdu_bundestag_demokratie
5,16_fachkräfte_frauen_arbeitsmarkt_beschäftigten,4_rassismus_menschen_opfer_gedenken,5_pflege_impfpflicht_versorgung_gesundheit,5_pflege_impfpflicht_versorgung_gesundheit
6,3_ukraine_belarus_türkei_bundeswehr,11_danke_ostern_moin_wochenende,3_ukraine_belarus_türkei_bundeswehr,16_fachkräfte_frauen_arbeitsmarkt_beschäftigten
7,5_pflege_impfpflicht_versorgung_gesundheit,12_kinder_kindern_schulen_familien,16_fachkräfte_frauen_arbeitsmarkt_beschäftigten,12_kinder_kindern_schulen_familien
8,12_kinder_kindern_schulen_familien,27_bürgersprechstunde_uhr_sprechstunde_per,18_haushalt_sitzungswoche_woche_bundestag,7_europa_eu_europäischen_migration
9,7_europa_eu_europäischen_migration,5_pflege_impfpflicht_versorgung_gesundheit,12_kinder_kindern_schulen_familien,9_frauen_gewalt_gewalt frauen_mädchen
