,Gesamt,positive,neutral,negative
0,0_berlin_bundestag_usa_heute,0_berlin_bundestag_usa_heute,0_berlin_bundestag_usa_heute,4_rassismus_menschen_opfer_gedenken
1,1_euro_feuerwehr_mehr_ehrenamt,2_spd_cdu_bundestag_demokratie,1_euro_feuerwehr_mehr_ehrenamt,3_ukraine_belarus_türkei_bundeswehr
2,2_spd_cdu_bundestag_demokratie,1_euro_feuerwehr_mehr_ehrenamt,2_spd_cdu_bundestag_demokratie,2_spd_cdu_bundestag_demokratie
3,4_rassismus_menschen_opfer_gedenken,6_jahr_wünsche_weihnachten_advent,4_rassismus_menschen_opfer_gedenken,1_euro_feuerwehr_mehr_ehrenamt
4,10_euro_bürgergeld_rente_prozent,10_euro_bürgergeld_rente_prozent,10_euro_bürgergeld_rente_prozent,9_frauen_gewalt_gewalt frauen_mädchen
5,3_ukraine_belarus_türkei_bundeswehr,7_europa_eu_europäischen_migration,5_pflege_impfpflicht_versorgung_gesundheit,0_berlin_bundestag_usa_heute
6,5_pflege_impfpflicht_versorgung_gesundheit,27_bürgersprechstunde_uhr_sprechstunde_per,8_wasserstoff_klimaschutz_energien_erneuerbaren,10_euro_bürgergeld_rente_prozent
7,7_europa_eu_europäischen_migration,12_kinder_kindern_schulen_familien,3_ukraine_belarus_türkei_bundeswehr,5_pflege_impfpflicht_versorgung_gesundheit
8,12_kinder_kindern_schulen_familien,5_pflege_impfpflicht_versorgung_gesundheit,7_europa_eu_europäischen_migration,12_kinder_kindern_schulen_familien
9,6_jahr_wünsche_weihnachten_advent,4_rassismus_menschen_opfer_gedenken,18_haushalt_sitzungswoche_woche_bundestag,7_europa_eu_europäischen_migration
