ID,Topic,Count,Name,Representation,Representative_Docs
0,-1,397019,-1_heute_bundestag_mehr_menschen,"['heute', 'bundestag', 'mehr', 'menschen', 'berlin', 'deutschland', 'spd', 'politik', 'gemeinsam', 'vielen']","['Gestern Monika Grütters Wahlkreis nehmen vergangenen Monaten Jahre Zukunft besser Antwort cdu klar Klima schaffen Innovation aufblühen Wohlstand wachsen lässt dafür braucht mehr Investitionen Zukunftstechnologien weniger bürokratische Hürden Vielen Dank intensive konstruktive Diskussionsrunde gestern Abend vielen engagierten Bürgerinnen Bürgern Ort Laurence Chaperon CDU Wahlkampf Berlin Politik Diskussion Zukunft', 'Beitrag Mai Wandel Fortschritt Mai Arbeitskampftag gehen gemeinsam Solidarität Frieden gerechte Gesellschaft Straße Seite Seite Gewerkschaften Zivilgesellschaft Wissenschaft setzen Zeichen bessere Zukunft Jahr steht Mai Zeichen schrecklichen Angriffskriegs Russlands Ukraine Solidarität gilt Menschen Krieg betroffen Heimat verloren verlassen mussten Tag Arbeit immer Anlass gegenseitig ermutigen Tag Jahr gute Arbeitsbedingungen faire Löhne kämpfen Arbeitswelt befindet Wandel schnell möglich unabhängig russischen Energielieferungen Wirtschaft Gebäude Verkehr klimafreundlich gestalten Arbeit Industrie Dienstleistung Verwaltung digitaler All Entwicklungen großen Einfluss Alltag Millionen Arbeitnehmer innen Land Arbeitsgemeinschaft Arbeit SPD dafür kämpfen Wandel gemeinsam zugunsten Vielen gestalten wachsende ökonomische Ungleichheit Land aufhalten umkehren geht erstermai spd mindestlohn afa stukturwandel klimawandel', 'gut Jahr jemand Straße angesprochen gesagt Herr Castellucci hoffe Pandemie bald vorbei Ja geantwortet hoffe kommt brutalen Angriffskrieg mitten Europa damals natürlich gerechnet Wer hätte schon Nachhinein klar viele Zeichen übersehen vielleicht übersehen wollten ziemlich sicher einfach ruhig genau darauf einstellen müssen immer passieren Antwort schon deutlich Genau genommen halte Hauptaufgabe Politik Menschen stark widerstandsfähig Herausforderungen unserer Zeit gelingt Zuallererst steht You ll never walk alone bundeskanzler Menschen müssen spüren Blick Politik Dafür stehen Entlastungspakete zentrale Inhalt Wahlkampfs SPD heißt SozialePolitikFürDich Bürgergeld statt Hartz IV Mindestlohn Euro stabile versprochen ersten Jahr neuen Regierung geliefert Entscheidend Zusammenhalt Je stärker gesellschaftliche Zusammenhalt desto besser kommen Krisen zurecht brauchen Vertrauen Vertrauen Mitmenschen gewisses Vertrauen Welt macht stark immer kommen möge wünsche Gemeinsam erreichen Gute GemeinsamVielErreichen Silvester Neujahr GutenRutsch NewYear RheinNeckar Rückblick bestnine']"
1,0,47880,0_berlin_bundestag_usa_heute,"['berlin', 'bundestag', 'usa', 'heute', 'jahr', 'ppp', 'deutschen', 'wahlkreis', 'dank', 'vielen']","['BrandnersWochenrückblick https AfD Thüringen Gera Greiz Altenburg AltenburgerLand Zeulenroda Gößnitz Triebes Sömmerda Apolda Berlin Bundestag Brandner', 'Berlin', 'Berlin']"
2,1,21792,1_euro_feuerwehr_mehr_ehrenamt,"['euro', 'feuerwehr', 'mehr', 'ehrenamt', 'deutschland', 'wohnen', 'millionen', 'wohnraum', 'menschen', 'bahn']","['wurden neue Wohnungen gebaut darunter Sozialwohnungen verfehlt deutlich linksfraktion fordern öffentliches Wohnungsbauprogramm Wiener Vorbild sozialen gemeinnützigen Wohnungsbau wohnen mietenwahnsinn dielinke mietpreisbremse mieter wohnraum linke Bundestag stadtfüralle mietenwahnsinnstoppen instapolitik mietenrunter mietenstoppde enteignen dwenteignen politik mietenstoppdeutschland mietpreisbremse vorkaufsrecht WohnenFürAlle rechtaufstadt stadtfüralle Gentrifizierung ausspekuliert', 'Link Story Neubauziele Ampel wurden erwartbar weit verfehlt braucht sozialen Wohnungsbau Umbaustrategie Leerstand Bestand reaktivieren Außerdem warte immer neue Wohngemeinnützigkeit Bodenpreisbremse berlin dielinke Linksfraktion mietpreisbremse mieter wohnraum linke Bundestag vermieter stadtfüralle mietenwahnsinnstoppen instapolitik mietenrunter mietenstoppde dwenteignen politik mietenkrise mietenstoppdeutschland mietenstopp mietendeckel vorkaufsrecht mieterverein WohnenFürAlle rechtaufstadt Gentrifizierung', 'heutigen Beschluss Bundesregierung steht fest größte Wohngeldreform seit Jahren kommt bekommen bald mehr Menschen gerade besonders hohen Preisen leiden mehr doppelt Wohngeld Moment Wohngeld gleich Wohngeld staatlicher Zuschuss Miete eigener Kraft schultern Anspruch habt hängt Haushaltsgröße Einkommen Mietkosten ab Website Bundesbauministeriums könnt individuellen Anspruch ganz einfach Wohngeldrechner herausfinden neuen Wohngeld Plus bald ändern sorgen dafür mehr Menschen Wohngeld erhalten Zahlen statt profitieren künftig Millionen Haushalte entlasten dauerhaften Heizkostenzuschuss Klimakomponente steigenden Wohnkosten Heizkostenzuschuss hilft langfristig hohen Energiepreise Klimakomponente federt zusätzliche Kosten aufgrund Klimaschutzmaßnahmen Bestand Neubau ab erhöhen Wohngeld Schnitt rund Euro rund Euro pro Monat entspricht Steigerung Prozent kümmern darum künftig einfacher schneller geht Wohngeld beantragen erhalten Gesetzesentwurf Bundesregierung heute beschlossen Detailarbeit nächsten Wochen Parlament neue Wohngeld Plus Start gehen Übrigens Wer schon Wohngeld bezieht erhält demnächst zweiten Mal Zuschuss Heizkosten Einmalzahlung Bundesregierung heute Reaktion hohen Energiepreise beschlossen wohngeldreform wohngeld entlastungen sozialepolitikfürdich spd beschlossenesache']"
3,2,16164,2_spd_cdu_bundestag_demokratie,"['spd', 'cdu', 'bundestag', 'demokratie', 'afd', 'gewählt', 'heute', 'glückwunsch', 'schäuble', 'wahl']","['verkleinern Bundestag vergangenen Jahren groß geworden Hauptgrund dafür sogenannten Ausgleichsmandate Deshalb Gesetzentwurf erarbeitet Mandate abschaffen Dadurch Bundestag künftig mehr Regelgröße Abgeordneten hinaus anwachsen dabei besonders wichtig Gesetzentwurf betrifft Ergebnis Fraktionen gleichermaßen historische Chance Wahrheit gehört Jahre lang Verkleinerung Bundestags verhindert CDU immer Geiselhaft CSU befand besonders stark Überhangmandaten profitiert einseitige Privileg schaffen endlich ab Woche Gesetzentwurf ersten Mal Bundestag beraten Ausgleichsmandate eigentlich Überhangmandate erhalten Abgeordnete aufgrund Direktmandats Bundestag einziehen konnten obwohl Partei Wahlergebnis eigentlich viele Sitze Parlament zugestanden hätten Kräfteverhältnis Bundestag Überhangmandate verzerrt gibt sogenannten Ausgleichsmandate Heißt Parteien dürfen ebenfalls weitere Kandidierende Parlament schicken Verhältnis Wahlergebnis abbildet aktuelle Bundestag statt per Gesetz eigentlich vorgesehenen Abgeordneten derzeit Abgeordnete ahnt woran liegt gibt Ausgleichsmandate', 'SPD', 'verkleinern Bundestag vergangenen Jahren Bundestag immer größer geworden lag sogenannten Ausgleichsmandaten Deshalb schaffen ab Bundestag bekommt feste Größe Abgeordneten mehr überschritten neue Wahlrecht betrifft Ergebnis Fraktionen gleichermaßen einfacher gerechter schafft einseitige Bevorteilung CSU unausgeglichene Überhangmandate bisherigen Wahlrecht ab Endlich vergangenen Jahre wegen Regierungsbeteiligung möglich Woche gehen Ampel endlich historischen Schritt schaffen wirksame Verkleinerung Bundestags Ausgleichsmandate Überhangmandate erhalten Abgeordnete aufgrund Direktmandats Bundestag einziehen konnten obwohl Partei eigentlich viele Sitze Parlament zugestanden hätten Kräfteverhältnis Bundestag Überhangmandate verzerrt gibt sogenannten Ausgleichsmandate Heißt Parteien dürfen ebenfalls weitere Kandidierende Parlament schicken Verhältnis Wahlergebnis abbildet aktuelle Bundestag deshalb Abgeordnete mehr vorgesehen bundesregierung deutscherbundestag spdbt']"
4,3,12121,3_ukraine_belarus_türkei_bundeswehr,"['ukraine', 'belarus', 'türkei', 'bundeswehr', 'afghanistan', 'russland', 'syrien', 'deutschland', 'putin', 'krieg']","['Erdbeben Türkei Syrien sorgt unfassbares menschliches Leid tief betroffen macht Deutschland Menschen Katastrophengebiet helfen Not lindern Deutschland zusammen internationalen Gemeinschaft tun Viele Hilfsorganisationen bereits aktiv technischeshilfswerk bereitet schon erste Hilfslieferungen einzelne helfen ard zdf rufen Beispiel Kooperation großen Hilfsorganisationen Spenden Aktionen Stelle ausdrücklich aufmerksam möchte Bündnis Entwicklung Hilft Aktion Deutschland Hilft rufen Kooperation ARD folgendem Konto gemeinsam Spenden IBAN Verwendungszweck Erdbeben Türkei Syrien Bündnis Entwicklung Hilft Aktion Deutschland Hilft Zusammenschlüsse Hilfsorganisationen brotfuerdiewelt awobund paritaet Aktionsbündnis Katastrophenhilfe ruft Kooperation ZDF folgendem Konto Spenden IBAN Verwendungszweck ZDF Erdbeben Türkei Syrien Aktionsbündnis Katastrophenhilfe Zusammenschluss unicef germanredcross türkei syrien erdbeben katastrophe hilfe fürsieimbundestag mdb bundestag koblenz myk rheinlahnkreis rhein mosel lahn mittelrhein rlp spd spdrlp sozialepolitikfürdich', 'Folgen furchtbaren Erdbeben Türkei Syrien dramatisch stehen humanitären Katastrophe Ausmaß Tod Zerstörung Leid erschüttert zutiefst Gedanken Betroffenen Angehörigen internationale Solidarität groß Deutschland hilft schnell unbürokratisch Einsatzkräften Einsatzgerät Hilfsgütern weitere Unterstützungsmaßnahmen Arbeit danken Menschen Katastrophengebiet schwierigen Bedingungen beistehen danken Spenden beitragen Not Menschen lindern Bitte lasst gemeinsam helfen Bündnis Entwicklung Hilft rufen Kooperation ARD folgendem Konto gemeinsam Spenden IBAN Verwendungszweck Erdbeben Türkei Syrien Bündnis Entwicklung Hilft Aktion Deutschland Hilft Zusammenschlüsse Hilfsorganisationen Brot Welt AWO Paritätischen Aktionsbündnis Katastrophenhilfe ruft Kooperation ZDF folgendem Konto Spenden IBAN Verwendungszweck ZDF Erdbeben Türkei Syrien Aktionsbündnis Katastrophenhilfe Zusammenschluss Caritas Unicef Deutschen Roten Kreuz Diakonie', 'Ausmaß Katastrophe Türkei Syrien Erdbeben schwer Worte fassen Deutschland steht bereit gemeinsam europäischen internationalen Partner innen Hilfen betroffenen Regionen schicken THW bereitet erste Hilfslieferungen helfen wollt ARD ZDF rufen Kooperation großen Hilfsorganisationen Spenden Bündnis Entwicklung Hilft Aktion Deutschland Hilft rufen Kooperation ARD folgendem Konto gemeinsam Spenden IBAN Verwendungszweck Erdbeben Türkei Syrien Bündnis Entwicklung Hilft Aktion Deutschland Hilft Zusammenschlüsse Hilfsorganisationen Brot Welt AWO Paritätischen Aktionsbündnis Katastrophenhilfe ruft Kooperation ZDF folgendem Konto Spenden IBAN Verwendungszweck ZDF Erdbeben Türkei Syrien Aktionsbündnis Katastrophenhilfe Zusammenschluss Caritas Unicef Deutschen Roten Kreuz Diakonie Gedanken Tagen Opfern Angehörige Freund innen Bekannte bangen']"
5,4,11939,4_rassismus_menschen_opfer_gedenken,"['rassismus', 'menschen', 'opfer', 'gedenken', 'heute', 'demokratie', 'antisemitismus', 'tag', 'hanau', 'hiv']","['SAY THEIR NAMES kommenden Montag Februar jähren rassistischen Morde Hanau schon vierten Mal gedenken neun Opfern rechtsterroristischen Anschlags vergessen Namen Gökhan Gültekin Sedat Gürbüz Said Nesar Hashemi Mercedes Kierpacz Hamza Kurtović Vili Viorel Păun Fatih Saraçoğlu Ferhat Unvar Kaloyan Velkov Seit vier Jahren kämpfen Überlebende Angehörige lückenlose Aufklärung Gerechtigkeit immer fehlen politische Konsequenzen Obwohl Bericht Untersuchungsausschusses Versagen Behörden offenbart bleibt heute Folgen Hanau Einzelfall Hanau überall Rassismus Rechtsextremismus größte Bedrohung Sicherheit Menschen Land Deshalb müssen Politik Behörden Rechtsstaat endlich konsequent dagegen vorgehen deshalb müssen Gesellschaft gemeinsam weiterhin Straße gehen Rassismus Ausgrenzung Vergessen saytheirnames hanauistüberall', 'gedenken Opfer Holocaust gedenken ermordeten Jüdinnen Juden Toten Sinti Roma verfolgten Homosexuellen gedenken Millionen Menschen nationalsozialistischen Gewaltherrschaft entrechtet verfolgt ermordet wurden wegen Herkunft Glaubens Meinung industrielle Vernichtung Menschen beispielloses Verbrechen Menschlichkeit Januar wurden Überlebenden KZ Auschwitz befreit Antisemitismus Rassismus Menschenfeindlichkeit dürfen unserer Gesellschaft nie Platz finden Verantwortung Pflicht Menschen freiheitliche Demokratie schützen Hass Hetze Gewalt Form Menschenfeindlichkeit verteidigen Deshalb Schlussstrich dürfen Opfer Nationalsozialismus niemals vergessen WeRemember holocaustgedenktag', 'Gökhan Gültekin Sedat Gürbüz Said Nesar Hashemi Mercedes Kierpacz Hamza Kenan Kurtović Vili Viorel Păun Fatih Saraçoğlu Ferhat Unvar Kaloyan Velkov SayTheirNames Hanau gedenken Menschen Februar Hanau getötet wurden lebendiges Gedenken wahrt Rassismus tötet rassistische Anschlag Hanau immer daran erinnern Tag überall Menschenfeindlichkeit Rechtsextremismus Hass Hetze aufzustehen Hanau überall KeinVergessen RechteGewaltTötet']"
6,5,11138,5_pflege_impfpflicht_versorgung_gesundheit,"['pflege', 'impfpflicht', 'versorgung', 'gesundheit', 'krankenhausreform', 'krankenhäuser', 'apotheken', 'gesundheitsversorgung', 'organspende', 'impfung']","['setze Bundestag allgemeine Impfpflicht ab Jahren Frage größtmöglicher Freiheit Mensch Recht Freiheit Selbstbestimmung gibt Freiheit weniger impfen ja gibt Freiheit vieler möglichst Einschränkung Leben teilzuhaben gilt gerade Risikogruppen Impfquote hoch Überlastung Gesundheitssystems birgt massive Gefahren geimpft ungeimpft hängen voneinander ab Recht medizinische Versorgung Gerade Blick nächsten Winter Überlastung darum unbedingt vermieden Impfung möglichst vieler allgemeine Impfpflicht ab wirksamste gleichzeitig mildeste Mittel Gesundheitssystem dauerhaft Überlastung schützen größtmögliche Freiheit erreichen gelingen heutige Debatte diente Orientierung kommenden Wochen intensiv Einzelheiten konkreten Umsetzung auseinandersetzen Einführung allgemeinen Impfpflicht komplex umso wichtiger intensiven Beratungen Impfen ImpfenHilft Impfpflicht Corona Pandemie Bundestag Solidarität', 'bundeskanzler Olaf Scholz Regierungsbefragung eindeutig allgemeine Impfpflicht ausgesprochen Regierung scheint Frage eigenen Gesetzentwurf vorlegen Antrag Bundestag einbringen FDP gibt bereits Gruppe allgemeine Impfpflicht verhindern vorerst entscheidend Bundesregierung genau sehen Details Regelung genau Konsequenzen Menschen impfen lassen Gibt genug Ressourcen allgemeine Impfpflicht umzusetzen insbesondere ländlichen Raum seid gefragt steht allgemeinen Impfpflicht gespannt Kommentare berlin bundestag impfpflicht impfung corona', 'Impfpflicht gescheitert schwerer Schlag große Enttäuschung Impfpflicht einzige Möglichkeit ewigen Hamsterrad immer steigenden Inzidenzen raus kommen hätten Risikogruppen besonders vulnerable Personen geschützt Gesundheitssystem endlich entlastet Impfpflicht ab Jahren ausgesprochen wäre endemische Phase Pandemie Phase erträgliches Leben Virus leben könnten hätten Kontrolle zurück gewonnen hätten breite Teile Bevölkerung geschützt wurde heute mehr abgestimmt schon Vorfeld wurde klar Mehrheit Vorschlag geben schade Politik müssen Mehrheiten gefunden dafür braucht Kompromisse Grund heute Kompromissvorschlag Impfpflicht ab Jahren gestimmt Nachweispflicht hätte Personen ab Jahren ab Oktober erfüllt müssen Herbst hätten Bundestag aufgrund neuen Lage entscheiden Impfpflicht ab Grundimmunisierung Bevölkerung notwendig wäre Zudem hätten bisher ungeimpfte Personen beraten sollen Kompromiss Anträge Impfpflicht ausgesprochen gab heute Bundestag Mehrheit bitter Risikopatient innen vulnerable Gruppen medizinische Personal seit zwei Jahren Anschlag arbeitet Virus nächste Welle kommen höheren Grundimmunität Bevölkerung dank Impfpflicht wären besser vorbereitet impfpflicht bundestag corona']"
7,6,10621,6_jahr_wünsche_weihnachten_advent,"['jahr', 'wünsche', 'weihnachten', 'advent', 'kirche', 'neue jahr', 'neues jahr', 'neujahrsempfang', 'ramadan', 'frohes']","['Frohe Weihnachten guten Rutsch neue Jahr', 'wünsche Frohe Weihnachten guten Rutsch neue Jahr', 'wünsche Frohe Weihnachten guten Rutsch neue Jahr']"
8,7,9571,7_europa_eu_europäischen_migration,"['europa', 'eu', 'europäischen', 'migration', 'ukraine', 'deutschland', 'menschen', 'europawahl', 'europäische', 'staatsbürgerschaft']","['Heute Europatag Europäischen Gemeinschaft Kohle Stahl EGKS wurde Grundstein Sicherung dauerhaften Friedens Weltkrieg Europa gelegt Heute verkörpert Europäische Union wirtschaftliche Zusammenarbeit Sicherheit Frieden Freiheit vereintes Europa unterschiedlichste Kulturen vereint Kontinent Vielfalt formt Seit Jahr herrscht jedoch Krieg Kontinent Ukraine gemeinsamen Werte verteidigt Darum umso wichtiger Europa Ort Krieg Leid Platz finden Idee Europäischen Union ermöglicht Visum reisen arbeiten wohnen eigene Zukunft frei gestalten steht Zusammenhalt Hilfe Ländern Besonders Krisenzeiten Deshalb Europa weiterhin geschlossen stehen Einheit Krisen unserer Zeit bewältigen glaube weiterhin Europa Kraft gegenwärtigen bevorstehenden Herausforderungen meistern europa europatag respekt gemeinsam', 'rechte Netzwerke widerwärtige entwickeln handeln schaffen modernes Staatsangehörigkeitsrecht Gut integrierte Menschen künftig schon statt acht fünf Jahren deutschen Pass erhalten besonderen Fällen sogar schon drei Jahren Deutschland modernen Einwanderungsland Fachkräfte Ausland attraktiver Niemand Einbürgerung entscheiden Staatsangehörigkeit Herkunftslandes aufgeben Deshalb lassen Mehrstaatigkeit grundsätzlich Deutsche verlieren länger Staatsbürgerschaft Staatsangehörigkeit annehmen möchten schaffen faires Angebot Menschen leben gut integriert Annahme unserer Staatsbürgerschaft dazugehörigen Rechten Pflichten stärker Staat Gesellschaft Demokratie entscheiden einsetzen', 'rechte Netzwerke widerwärtige entwickeln handeln schaffen modernes Staatsangehörigkeitsrecht Gut integrierte Menschen künftig schon statt acht fünf Jahren deutschen Pass erhalten besonderen Fällen sogar schon drei Jahren Deutschland modernen Einwanderungsland Fachkräfte Ausland attraktiver Niemand Einbürgerung entscheiden Staatsangehörigkeit Herkunftslandes aufgeben Deshalb lassen Mehrstaatigkeit grundsätzlich Deutsche verlieren länger Staatsbürgerschaft Staatsangehörigkeit annehmen möchten schaffen faires Angebot Menschen leben gut integriert Annahme unserer Staatsbürgerschaft dazugehörigen Rechten Pflichten stärker Staat Gesellschaft Demokratie entscheiden einsetzen staatsangehörigkeit doppeltestaatsbürgerschaft integration wertschätzung']"
9,8,7883,8_wasserstoff_klimaschutz_energien_erneuerbaren,"['wasserstoff', 'klimaschutz', 'energien', 'erneuerbaren', 'energiewende', 'energie', 'müssen', 'heizungsgesetz', 'strom', 'klima']","['sorgen dafür beim Klimaschutz mitmachen Beratungen Heizungsgesetz Ampelkoalition weitere Details geeinigt denen Umstieg klimaneutrales Heizen möglich führen verpflichtende flächendeckende kommunale Wärmeplanung große Städte kleinere Kommunen vorliegen Erst greifen Vorgaben beim Einbau neuer Heizungen bestehenden Gebäuden Wärmeplanung gibt Auskunft darüber Wärmeversorgung zukünftig jeweiligen Gebieten möglich klar wer Fernwärme anschließen Stromnetze Betrieb Wärmepumpe erlauben künftig klimaneutrales Gasnetz geben fördern Einbau klimafreundlicher Heizungen Prozent Investitionskosten unterstützen Umstieg Breite Gesellschaft Konkret geplant Wer klimafreundliche Heizung einbaut bekommt Prozent Investitionskosten Sockelförderung Wer versteuerndes Jahreseinkommen Euro bekommt weitere Prozent Förderung wer schnell schon nächsten Jahren umrüstet bekommt Geschwindigkeitsbonus Prozent Insgesamt Förderung maximal Prozent gedeckelt Mieter innen Gebühr belastet Beim Heizungstausch darf Miete höchstens Cent pro Quadratmeter steigen Zudem Härtefälle geltend gemacht schließen klimafreundliche Wärmetechnologie vorneherein Hauptsache mindestens Prozent erneuerbar gehören nachhaltige Lösungen Heizen Holz Pellets', 'sorgen dafür beim Klimaschutz mitmachen Beratungen Heizungsgesetz Ampelkoalition weitere Details geeinigt denen Umstieg klimaneutrales Heizen möglich führen verpflichtende flächendeckende kommunale Wärmeplanung große Städte kleinere Kommunen vorliegen Erst greifen Vorgaben beim Einbau neuer Heizungen bestehenden Gebäuden Wärmeplanung gibt Auskunft darüber Wärmeversorgung zukünftig jeweiligen Gebieten möglich klar wer Fernwärme anschließen Stromnetze Betrieb Wärmepumpe erlauben künftig klimaneutrales Gasnetz geben fördern Einbau klimafreundlicher Heizungen Prozent Investitionskosten unterstützen Umstieg Breite Gesellschaft Konkret geplant Wer klimafreundliche Heizung einbaut bekommt Prozent Investitionskosten Sockelförderung Wer versteuerndes Jahreseinkommen Euro bekommt weitere Prozent Förderung wer schnell schon nächsten Jahren umrüstet bekommt Geschwindigkeitsbonus Prozent Insgesamt Förderung maximal Prozent gedeckelt Mieter innen Gebühr belastet Beim Heizungstausch darf Miete höchstens Cent pro Quadratmeter steigen Zudem Härtefälle geltend gemacht schließen klimafreundliche Wärmetechnologie vorneherein Hauptsache mindestens Prozent erneuerbar gehören nachhaltige Lösungen Heizen Holz Pellets SPD Ludwigsburg Heizungsgesetz', 'sorgen dafür beim Klimaschutz mitmachen Beratungen Heizungsgesetz Ampelkoalition weitere Details geeinigt denen Umstieg klimaneutrales Heizen möglich führen verpflichtende flächendeckende kommunale Wärmeplanung große Städte kleinere Kommunen vorliegen Erst greifen Vorgaben beim Einbau neuer Heizungen bestehenden Gebäuden Wärmeplanung gibt Auskunft darüber Wärmeversorgung zukünftig jeweiligen Gebieten möglich klar wer Fernwärme anschließen Stromnetze Betrieb Wärmepumpe erlauben künftig klimaneutrales Gasnetz geben fördern Einbau klimafreundlicher Heizungen Prozent Investitionskosten unterstützen Umstieg Breite Gesellschaft Konkret geplant Wer klimafreundliche Heizung einbaut bekommt Prozent Investitionskosten Sockelförderung Wer versteuerndes Jahreseinkommen Euro bekommt weitere Prozent Förderung wer schnell schon nächsten Jahren umrüstet bekommt Geschwindigkeitsbonus Prozent Insgesamt Förderung maximal Prozent gedeckelt Mieter innen Gebühr belastet Beim Heizungstausch darf Miete höchstens Cent pro Quadratmeter steigen Zudem Härtefälle geltend gemacht schließen klimafreundliche Wärmetechnologie vorneherein Hauptsache mindestens Prozent erneuerbar gehören nachhaltige Lösungen Heizen Holz Pellets sozialepolitikfürdich klimaschutz heizungen']"
